Filename,Time (ps),LJ Energy (kJ/mol)
dhdl_modified_28.xvg,0.000000,2826348515267969024.000000
dhdl_modified_29.xvg,0.000000,1881680972592709632.000000
dhdl_modified_30.xvg,0.000000,1269582711970856960.000000
dhdl_modified_31.xvg,0.000000,867362391954817024.000000
dhdl_modified_32.xvg,0.000000,599559567457648640.000000
dhdl_modified_33.xvg,0.000000,419036766247321600.000000
dhdl_modified_34.xvg,0.000000,295925961113731072.000000
dhdl_modified_35.xvg,0.000000,211042100081328128.000000
dhdl_modified_36.xvg,0.000000,151907942377979904.000000
dhdl_modified_37.xvg,0.000000,110305635018473472.000000
dhdl_modified_38.xvg,0.000000,80765296633184256.000000
dhdl_modified_39.xvg,0.000000,59604645600821248.000000
dhdl_modified_40.xvg,0.000000,44319372390432768.000000
dhdl_modified_41.xvg,0.000000,33190077039378432.000000
dhdl_modified_42.xvg,0.000000,25025204623245312.000000
dhdl_modified_43.xvg,0.000000,18991930918567936.000000
dhdl_modified_44.xvg,0.000000,14502758086344704.000000
dhdl_modified_45.xvg,0.000000,11140554607820800.000000
dhdl_modified_46.xvg,0.000000,8606475047927808.000000
dhdl_modified_47.xvg,0.000000,6685050561101824.000000
dhdl_modified_48.xvg,0.000000,5219711335792640.000000
dhdl_modified_49.xvg,0.000000,4095996761997312.000000
dhdl_modified_50.xvg,0.000000,3229672062058496.000000
dhdl_modified_51.xvg,0.000000,2558354178179072.000000
dhdl_modified_52.xvg,0.000000,2035588609867776.000000
dhdl_modified_53.xvg,0.000000,1626577666310144.000000
dhdl_modified_54.xvg,0.000000,1305111309582336.000000
dhdl_modified_55.xvg,0.000000,1051340146999296.000000
dhdl_modified_56.xvg,0.000000,850160590520320.000000
dhdl_modified_57.xvg,0.000000,690022667780096.000000
dhdl_modified_58.xvg,0.000000,562050862415872.000000
dhdl_modified_59.xvg,0.000000,459394131165184.000000
dhdl_modified_60.xvg,0.000000,376739901472768.000000
dhdl_modified_61.xvg,0.000000,309956280582144.000000
dhdl_modified_62.xvg,0.000000,255807513952256.000000
dhdl_modified_63.xvg,0.000000,211758060929024.000000
dhdl_modified_64.xvg,0.000000,175808194805760.000000
dhdl_modified_65.xvg,0.000000,146377048850432.000000
dhdl_modified_66.xvg,0.000000,122208932331520.000000
dhdl_modified_67.xvg,0.000000,102304074170368.000000
dhdl_modified_68.xvg,0.000000,85863895662592.000000
dhdl_modified_69.xvg,0.000000,72247649763328.000000
dhdl_modified_70.xvg,0.000000,60939613241344.000000
dhdl_modified_71.xvg,0.000000,51523983769600.000000
dhdl_modified_72.xvg,0.000000,43664256532480.000000
dhdl_modified_73.xvg,0.000000,37086841274368.000000
dhdl_modified_74.xvg,0.000000,31569311956992.000000
dhdl_modified_75.xvg,0.000000,26930036342784.000000
dhdl_modified_76.xvg,0.000000,23020286509056.000000
dhdl_modified_77.xvg,0.000000,19718085804032.000000
dhdl_modified_78.xvg,0.000000,16922870546432.000000
dhdl_modified_79.xvg,0.000000,14551894458368.000000
dhdl_modified_80.xvg,0.000000,12536602689536.000000
dhdl_modified_81.xvg,0.000000,10820170809344.000000
dhdl_modified_82.xvg,0.000000,9355408703488.000000
dhdl_modified_83.xvg,0.000000,8103049822208.000000
dhdl_modified_84.xvg,0.000000,7030278979584.000000
dhdl_modified_85.xvg,0.000000,6109680107520.000000
dhdl_modified_86.xvg,0.000000,5318242729984.000000
dhdl_modified_87.xvg,0.000000,4636693495808.000000
dhdl_modified_88.xvg,0.000000,4048739368960.000000
dhdl_modified_89.xvg,0.000000,3540706394112.000000
dhdl_modified_90.xvg,0.000000,3101009117184.000000
dhdl_modified_91.xvg,0.000000,2719856984064.000000
dhdl_modified_92.xvg,0.000000,2388932952064.000000
dhdl_modified_93.xvg,0.000000,2101188755456.000000
dhdl_modified_94.xvg,0.000000,1850618675200.000000
dhdl_modified_95.xvg,0.000000,1632093077504.000000
dhdl_modified_96.xvg,0.000000,1441248313344.000000
dhdl_modified_97.xvg,0.000000,1274343981056.000000
dhdl_modified_98.xvg,0.000000,1128176025600.000000
dhdl_modified_99.xvg,0.000000,999998226432.000000
dhdl_modified_100.xvg,0.000000,887446503424.000000
dhdl_modified_101.xvg,0.000000,788491272192.000000
dhdl_modified_102.xvg,0.000000,701379313664.000000
dhdl_modified_103.xvg,0.000000,624597401600.000000
dhdl_modified_104.xvg,0.000000,556836782080.000000
dhdl_modified_105.xvg,0.000000,496968368128.000000
dhdl_modified_106.xvg,0.000000,444011511808.000000
dhdl_modified_107.xvg,0.000000,397113065472.000000
dhdl_modified_108.xvg,0.000000,355533979648.000000
dhdl_modified_109.xvg,0.000000,318630690816.000000
dhdl_modified_110.xvg,0.000000,285840343040.000000
dhdl_modified_111.xvg,0.000000,256674627584.000000
dhdl_modified_112.xvg,0.000000,230705512448.000000
dhdl_modified_113.xvg,0.000000,207558705152.000000
dhdl_modified_114.xvg,0.000000,186906935296.000000
dhdl_modified_115.xvg,0.000000,168462352384.000000
dhdl_modified_116.xvg,0.000000,151973904384.000000
dhdl_modified_117.xvg,0.000000,137219088384.000000
dhdl_modified_118.xvg,0.000000,124003835904.000000
dhdl_modified_119.xvg,0.000000,112156442624.000000
dhdl_modified_120.xvg,0.000000,101525217280.000000
dhdl_modified_121.xvg,0.000000,91977220096.000000
dhdl_modified_122.xvg,0.000000,83394428928.000000
dhdl_modified_123.xvg,0.000000,75672535040.000000
dhdl_modified_124.xvg,0.000000,68719214592.000000
dhdl_modified_125.xvg,0.000000,62452846592.000000
dhdl_modified_126.xvg,0.000000,56800600064.000000
dhdl_modified_127.xvg,0.000000,51698597888.000000
dhdl_modified_128.xvg,0.000000,47089209344.000000
dhdl_modified_129.xvg,0.000000,42921783296.000000
dhdl_modified_130.xvg,0.000000,39150927872.000000
dhdl_modified_131.xvg,0.000000,35736346624.000000
dhdl_modified_132.xvg,0.000000,32642080768.000000
dhdl_modified_133.xvg,0.000000,29835933696.000000
dhdl_modified_134.xvg,0.000000,27289300992.000000
dhdl_modified_135.xvg,0.000000,24976379904.000000
dhdl_modified_136.xvg,0.000000,22874421248.000000
dhdl_modified_137.xvg,0.000000,20962695168.000000
dhdl_modified_138.xvg,0.000000,19222906880.000000
dhdl_modified_139.xvg,0.000000,17638471680.000000
dhdl_modified_140.xvg,0.000000,16194470912.000000
dhdl_modified_141.xvg,0.000000,14877729792.000000
dhdl_modified_142.xvg,0.000000,13676141568.000000
dhdl_modified_143.xvg,0.000000,12579006464.000000
dhdl_modified_144.xvg,0.000000,11576551424.000000
dhdl_modified_145.xvg,0.000000,10660099072.000000
dhdl_modified_146.xvg,0.000000,9821737984.000000
dhdl_modified_147.xvg,0.000000,9054301184.000000
dhdl_modified_148.xvg,0.000000,8351417344.000000
dhdl_modified_149.xvg,0.000000,7707257856.000000
dhdl_modified_150.xvg,0.000000,7116576768.000000
dhdl_modified_151.xvg,0.000000,6574625792.000000
dhdl_modified_152.xvg,0.000000,6077112320.000000
dhdl_modified_153.xvg,0.000000,5620113408.000000
dhdl_modified_154.xvg,0.000000,5200118272.000000
dhdl_modified_155.xvg,0.000000,4813905920.000000
dhdl_modified_156.xvg,0.000000,4458590720.000000
dhdl_modified_157.xvg,0.000000,4131503872.000000
dhdl_modified_158.xvg,0.000000,3830248192.000000
dhdl_modified_159.xvg,0.000000,3552654080.000000
dhdl_modified_160.xvg,0.000000,3296713216.000000
dhdl_modified_161.xvg,0.000000,3060636160.000000
dhdl_modified_162.xvg,0.000000,2842759168.000000
dhdl_modified_163.xvg,0.000000,2641588992.000000
dhdl_modified_164.xvg,0.000000,2455748352.000000
dhdl_modified_165.xvg,0.000000,2283986944.000000
dhdl_modified_166.xvg,0.000000,2125167616.000000
dhdl_modified_167.xvg,0.000000,1978238336.000000
dhdl_modified_168.xvg,0.000000,1842252160.000000
dhdl_modified_169.xvg,0.000000,1716334464.000000
dhdl_modified_170.xvg,0.000000,1599690496.000000
dhdl_modified_171.xvg,0.000000,1491579776.000000
dhdl_modified_172.xvg,0.000000,1391344256.000000
dhdl_modified_173.xvg,0.000000,1298366208.000000
dhdl_modified_174.xvg,0.000000,1212078336.000000
dhdl_modified_175.xvg,0.000000,1131969408.000000
dhdl_modified_176.xvg,0.000000,1057564352.000000
dhdl_modified_177.xvg,0.000000,988430848.000000
dhdl_modified_178.xvg,0.000000,924162624.000000
dhdl_modified_179.xvg,0.000000,864400320.000000
dhdl_modified_180.xvg,0.000000,808802944.000000
dhdl_modified_181.xvg,0.000000,757055232.000000
dhdl_modified_182.xvg,0.000000,708876672.000000
dhdl_modified_183.xvg,0.000000,664000960.000000
