Filename,Time (ps),LJ Energy (kJ/mol),Distance (nm)
dhdl_modified_28.xvg,0.0,2.826348515267969e+18,0.028
dhdl_modified_29.xvg,0.0,1.8816809725927096e+18,0.029
dhdl_modified_30.xvg,0.0,1.2695828494098104e+18,0.03
dhdl_modified_31.xvg,0.0,8.673625293937705e+17,0.031
dhdl_modified_32.xvg,0.0,5.995594987381719e+17,0.032
dhdl_modified_33.xvg,0.0,4.190367662473216e+17,0.033
dhdl_modified_34.xvg,0.0,2.9592599547346944e+17,0.034
dhdl_modified_35.xvg,0.0,2.1104210008132813e+17,0.035
dhdl_modified_36.xvg,0.0,1.519079423779799e+17,0.036
dhdl_modified_37.xvg,0.0,1.1030563501847347e+17,0.037
dhdl_modified_38.xvg,0.0,8.076529663318426e+16,0.038
dhdl_modified_39.xvg,0.0,5.960464560082125e+16,0.039
dhdl_modified_40.xvg,0.0,4.431937239043277e+16,0.04
dhdl_modified_41.xvg,0.0,3.319007918686208e+16,0.041
dhdl_modified_42.xvg,0.0,2.502520677072896e+16,0.042
dhdl_modified_43.xvg,0.0,1.8991933066051584e+16,0.043
dhdl_modified_44.xvg,0.0,1.4502758086344704e+16,0.044
dhdl_modified_45.xvg,0.0,1.11405546078208e+16,0.045
dhdl_modified_46.xvg,0.0,8606475584798720.0,0.046
dhdl_modified_47.xvg,0.0,6685051097972736.0,0.047
dhdl_modified_48.xvg,0.0,5219711335792640.0,0.048
dhdl_modified_49.xvg,0.0,4095996493561856.0,0.049
dhdl_modified_50.xvg,0.0,3229672062058496.0,0.05
dhdl_modified_51.xvg,0.0,2558354178179072.0,0.051
dhdl_modified_52.xvg,0.0,2035588341432320.0,0.052
dhdl_modified_53.xvg,0.0,1626577666310144.0,0.053
dhdl_modified_54.xvg,0.0,1305111443800064.0,0.054
dhdl_modified_55.xvg,0.0,1051340214108160.0,0.055
dhdl_modified_56.xvg,0.0,850160724738048.0,0.056
dhdl_modified_57.xvg,0.0,690022667780096.0,0.057
dhdl_modified_58.xvg,0.0,562050795307008.0,0.058
dhdl_modified_59.xvg,0.0,459394164719616.0,0.059
dhdl_modified_60.xvg,0.0,376739935027200.0,0.06
dhdl_modified_61.xvg,0.0,309956280582144.0,0.061
dhdl_modified_62.xvg,0.0,255807497175040.0,0.062
dhdl_modified_63.xvg,0.0,211758077706240.0,0.063
dhdl_modified_64.xvg,0.0,175808211582976.0,0.064
dhdl_modified_65.xvg,0.0,146377048850432.0,0.065
dhdl_modified_66.xvg,0.0,122208923942912.0,0.066
dhdl_modified_67.xvg,0.0,102304082558976.0,0.067
dhdl_modified_68.xvg,0.0,85863904051200.0,0.068
dhdl_modified_69.xvg,0.0,72247649763328.0,0.069
dhdl_modified_70.xvg,0.0,60939617435648.0,0.07
dhdl_modified_71.xvg,0.0,51523987963904.0,0.071
dhdl_modified_72.xvg,0.0,43664256532480.0,0.072
dhdl_modified_73.xvg,0.0,37086845468672.0,0.073
dhdl_modified_74.xvg,0.0,31569311956992.0,0.074
dhdl_modified_75.xvg,0.0,26930034245632.0,0.075
dhdl_modified_76.xvg,0.0,23020288606208.0,0.076
dhdl_modified_77.xvg,0.0,19718085804032.0,0.077
dhdl_modified_78.xvg,0.0,16922869497856.0,0.078
dhdl_modified_79.xvg,0.0,14551893409792.0,0.079
dhdl_modified_80.xvg,0.0,12536602689536.0,0.08
dhdl_modified_81.xvg,0.0,10820170809344.0,0.081
dhdl_modified_82.xvg,0.0,9355408703488.0,0.082
dhdl_modified_83.xvg,0.0,8103049822208.0,0.083
dhdl_modified_84.xvg,0.0,7030278979584.0,0.084
